Sample No., Time (ms), Motor Count 
1, 5, 0
2, 10, 0
3, 15, 1
4, 20, 2
5, 25, 3
6, 30, 4
7, 35, 5
8, 40, 6
9, 45, 7
10, 50, 7
11, 55, 8
12, 60, 9
13, 65, 10
14, 70, 11
15, 75, 12
16, 80, 13
17, 85, 13
18, 90, 14
19, 95, 15
20, 100, 16
21, 105, 17
22, 110, 18
23, 115, 19
24, 120, 19
25, 125, 20
26, 130, 21
27, 135, 22
28, 140, 23
29, 145, 24
30, 150, 25
31, 155, 26
32, 160, 27
33, 165, 28
34, 170, 29
35, 175, 30
36, 180, 31
37, 185, 32
38, 190, 33
39, 195, 34
40, 200, 35
41, 205, 36
42, 210, 37
43, 215, 38
44, 220, 39
45, 225, 40
46, 230, 41
47, 235, 42
48, 240, 43
49, 245, 45
50, 250, 46
51, 255, 47
52, 260, 47
53, 265, 48
54, 270, 49
55, 275, 51
56, 280, 51
57, 285, 53
58, 290, 53
59, 295, 54
60, 300, 55
61, 305, 56
62, 310, 57
63, 315, 58
64, 320, 59
65, 325, 61
66, 330, 62
67, 335, 63
68, 340, 63
69, 345, 65
70, 350, 66
71, 355, 67
72, 360, 68
73, 365, 69
74, 370, 70
75, 375, 71
76, 380, 73
77, 385, 74
78, 390, 75
79, 395, 76
80, 400, 77
81, 405, 79
82, 410, 80
83, 415, 81
84, 420, 82
85, 425, 83
86, 430, 84
87, 435, 85
88, 440, 86
89, 445, 87
90, 450, 89
91, 455, 90
92, 460, 91
93, 465, 92
94, 470, 93
95, 475, 95
96, 480, 96
97, 485, 97
98, 490, 98
99, 495, 99
100, 500, 100
101, 505, 101
102, 510, 102
103, 515, 103
104, 520, 105
105, 525, 106
106, 530, 107
107, 535, 108
108, 540, 109
109, 545, 111
110, 550, 112
111, 555, 113
112, 560, 114
113, 565, 115
114, 570, 116
115, 575, 117
116, 580, 119
117, 585, 119
118, 590, 121
119, 595, 121
120, 600, 122
121, 605, 123
122, 610, 124
123, 615, 125
124, 620, 126
125, 625, 127
126, 630, 129
127, 635, 130
128, 640, 131
129, 645, 132
130, 650, 133
131, 655, 134
132, 660, 135
133, 665, 137
134, 670, 138
135, 675, 139
136, 680, 140
137, 685, 141
138, 690, 142
139, 695, 143
140, 700, 145
141, 705, 146
142, 710, 147
143, 715, 148
144, 720, 149
145, 725, 151
146, 730, 152
147, 735, 153
148, 740, 154
149, 745, 155
150, 750, 156
151, 755, 157
152, 760, 158
153, 765, 160
154, 770, 161
155, 775, 162
156, 780, 163
157, 785, 164
158, 790, 165
159, 795, 166
160, 800, 167
161, 805, 169
162, 810, 170
163, 815, 171
164, 820, 172
165, 825, 173
166, 830, 174
167, 835, 175
168, 840, 176
169, 845, 177
170, 850, 179
171, 855, 180
172, 860, 181
173, 865, 182
