Sample No., Time (ms), Motor Count 
1, 5, 0
2, 10, 0
3, 15, 1
4, 20, 2
5, 25, 2
6, 30, 4
7, 35, 5
8, 40, 6
9, 45, 7
10, 50, 8
11, 55, 9
12, 60, 10
13, 65, 12
14, 70, 13
15, 75, 14
16, 80, 15
17, 85, 16
18, 90, 17
19, 95, 18
20, 100, 20
21, 105, 21
22, 110, 22
23, 115, 24
24, 120, 25
25, 125, 26
26, 130, 27
27, 135, 28
28, 140, 30
29, 145, 31
30, 150, 32
31, 155, 33
32, 160, 34
33, 165, 36
34, 170, 37
35, 175, 38
36, 180, 39
37, 185, 41
38, 190, 42
39, 195, 44
40, 200, 45
41, 205, 46
42, 210, 47
43, 215, 48
44, 220, 50
45, 225, 51
46, 230, 53
47, 235, 54
48, 240, 56
49, 245, 57
50, 250, 58
51, 255, 60
52, 260, 61
53, 265, 62
54, 270, 64
55, 275, 66
56, 280, 67
57, 285, 68
58, 290, 69
59, 295, 70
60, 300, 72
61, 305, 74
62, 310, 75
63, 315, 76
64, 320, 78
65, 325, 79
66, 330, 80
67, 335, 82
68, 340, 83
69, 345, 85
70, 350, 86
71, 355, 88
72, 360, 89
73, 365, 90
74, 370, 91
75, 375, 92
76, 380, 94
77, 385, 96
78, 390, 97
79, 395, 98
80, 400, 100
81, 405, 102
82, 410, 103
83, 415, 104
84, 420, 106
85, 425, 107
86, 430, 108
87, 435, 110
88, 440, 111
89, 445, 113
90, 450, 114
91, 455, 116
92, 460, 117
93, 465, 118
94, 470, 119
95, 475, 121
96, 480, 122
97, 485, 124
98, 490, 125
99, 495, 126
100, 500, 128
101, 505, 129
102, 510, 131
103, 515, 132
104, 520, 134
105, 525, 135
106, 530, 136
107, 535, 138
108, 540, 140
109, 545, 141
110, 550, 142
111, 555, 144
112, 560, 146
113, 565, 147
114, 570, 148
115, 575, 150
116, 580, 151
117, 585, 153
118, 590, 154
119, 595, 156
120, 600, 157
121, 605, 158
122, 610, 160
123, 615, 161
124, 620, 162
125, 625, 164
126, 630, 166
127, 635, 167
128, 640, 168
129, 645, 170
130, 650, 172
131, 655, 173
132, 660, 174
133, 665, 176
134, 670, 177
135, 675, 178
136, 680, 180
137, 685, 181
138, 690, 183
139, 695, 184
140, 700, 186
141, 705, 187
142, 710, 189
143, 715, 190
144, 720, 192
145, 725, 194
146, 730, 195
147, 735, 196
148, 740, 198
149, 745, 199
150, 750, 201
151, 755, 202
152, 760, 204
153, 765, 205
154, 770, 207
155, 775, 208
156, 780, 210
157, 785, 211
158, 790, 212
159, 795, 214
160, 800, 216
161, 805, 217
162, 810, 218
163, 815, 220
164, 820, 221
165, 825, 223
166, 830, 224
167, 835, 226
168, 840, 227
169, 845, 228
170, 850, 230
171, 855, 231
172, 860, 232
173, 865, 234
