Sample No., Time (ms), Motor Count 
1, 5, 0
2, 10, 0
3, 15, 1
4, 20, 1
5, 25, 3
6, 30, 4
7, 35, 5
8, 40, 7
9, 45, 9
10, 50, 12
11, 55, 15
12, 60, 17
13, 65, 19
14, 70, 22
15, 75, 25
16, 80, 28
17, 85, 31
18, 90, 34
19, 95, 37
20, 100, 40
21, 105, 43
22, 110, 47
23, 115, 50
24, 120, 53
25, 125, 56
26, 130, 60
27, 135, 63
28, 140, 67
29, 145, 70
30, 150, 73
31, 155, 77
32, 160, 80
33, 165, 84
34, 170, 87
35, 175, 90
36, 180, 94
37, 185, 97
38, 190, 101
39, 195, 104
40, 200, 108
41, 205, 111
42, 210, 115
43, 215, 119
44, 220, 122
45, 225, 126
46, 230, 129
47, 235, 133
48, 240, 137
49, 245, 140
50, 250, 144
51, 255, 147
52, 260, 151
53, 265, 155
54, 270, 158
55, 275, 161
56, 280, 165
57, 285, 169
58, 290, 172
59, 295, 176
60, 300, 179
61, 305, 183
62, 310, 187
63, 315, 190
64, 320, 194
65, 325, 197
66, 330, 201
67, 335, 205
68, 340, 208
69, 345, 212
70, 350, 216
71, 355, 219
72, 360, 223
73, 365, 227
74, 370, 230
75, 375, 234
76, 380, 237
77, 385, 241
78, 390, 245
79, 395, 249
80, 400, 252
81, 405, 256
82, 410, 259
83, 415, 263
84, 420, 267
85, 425, 271
86, 430, 275
87, 435, 278
88, 440, 282
89, 445, 285
90, 450, 289
91, 455, 293
92, 460, 297
93, 465, 300
94, 470, 304
95, 475, 308
96, 480, 311
97, 485, 315
98, 490, 319
99, 495, 323
100, 500, 327
101, 505, 330
102, 510, 334
103, 515, 338
104, 520, 341
105, 525, 345
106, 530, 349
107, 535, 353
108, 540, 357
109, 545, 360
110, 550, 364
111, 555, 368
112, 560, 372
113, 565, 375
114, 570, 379
115, 575, 383
116, 580, 387
117, 585, 391
118, 590, 395
119, 595, 398
120, 600, 402
121, 605, 406
122, 610, 409
123, 615, 413
124, 620, 417
125, 625, 421
126, 630, 425
127, 635, 428
128, 640, 432
129, 645, 436
130, 650, 440
131, 655, 443
132, 660, 447
133, 665, 451
134, 670, 455
135, 675, 459
136, 680, 463
137, 685, 466
138, 690, 470
139, 695, 474
140, 700, 477
141, 705, 481
142, 710, 485
143, 715, 489
144, 720, 493
145, 725, 497
146, 730, 500
147, 735, 504
148, 740, 508
149, 745, 511
150, 750, 515
151, 755, 519
152, 760, 523
153, 765, 526
154, 770, 530
155, 775, 534
156, 780, 537
157, 785, 541
158, 790, 545
159, 795, 549
160, 800, 553
161, 805, 556
162, 810, 560
163, 815, 563
164, 820, 567
165, 825, 571
166, 830, 575
167, 835, 578
168, 840, 582
169, 845, 586
170, 850, 589
171, 855, 593
172, 860, 597
173, 865, 601
