Sample No., Time (ms), Motor Count 
1, 5, 0
2, 10, 0
3, 15, 0
4, 20, 1
5, 25, 2
6, 30, 3
7, 35, 4
8, 40, 4
9, 45, 5
10, 50, 5
11, 55, 6
12, 60, 7
13, 65, 7
14, 70, 8
15, 75, 8
16, 80, 9
17, 85, 9
18, 90, 10
19, 95, 11
20, 100, 12
21, 105, 13
22, 110, 13
23, 115, 13
24, 120, 14
25, 125, 14
26, 130, 15
27, 135, 15
28, 140, 16
29, 145, 17
30, 150, 18
31, 155, 18
32, 160, 19
33, 165, 20
34, 170, 20
35, 175, 21
36, 180, 21
37, 185, 22
38, 190, 23
39, 195, 23
40, 200, 24
41, 205, 25
42, 210, 25
43, 215, 26
44, 220, 27
45, 225, 27
46, 230, 28
47, 235, 28
48, 240, 29
49, 245, 30
50, 250, 31
51, 255, 31
52, 260, 32
53, 265, 33
54, 270, 33
55, 275, 34
56, 280, 35
57, 285, 35
58, 290, 36
59, 295, 37
60, 300, 37
61, 305, 38
62, 310, 39
63, 315, 39
64, 320, 40
65, 325, 41
66, 330, 41
67, 335, 42
68, 340, 43
69, 345, 43
70, 350, 44
71, 355, 45
72, 360, 45
73, 365, 46
74, 370, 47
75, 375, 48
76, 380, 49
77, 385, 49
78, 390, 50
79, 395, 51
80, 400, 51
81, 405, 52
82, 410, 52
83, 415, 53
84, 420, 54
85, 425, 55
86, 430, 56
87, 435, 57
88, 440, 57
89, 445, 58
90, 450, 59
91, 455, 59
92, 460, 60
93, 465, 61
94, 470, 62
95, 475, 63
96, 480, 63
97, 485, 64
98, 490, 65
99, 495, 65
100, 500, 66
101, 505, 67
102, 510, 67
103, 515, 68
104, 520, 69
105, 525, 69
106, 530, 71
107, 535, 71
108, 540, 72
109, 545, 73
110, 550, 73
111, 555, 74
112, 560, 75
113, 565, 75
114, 570, 76
115, 575, 77
116, 580, 78
117, 585, 79
118, 590, 80
119, 595, 80
120, 600, 81
121, 605, 82
122, 610, 83
123, 615, 83
124, 620, 84
125, 625, 85
126, 630, 85
127, 635, 86
128, 640, 87
129, 645, 88
130, 650, 89
131, 655, 89
132, 660, 90
133, 665, 91
134, 670, 91
135, 675, 92
136, 680, 93
137, 685, 94
138, 690, 95
139, 695, 95
140, 700, 96
141, 705, 97
142, 710, 97
143, 715, 98
144, 720, 99
145, 725, 100
146, 730, 101
147, 735, 101
148, 740, 102
149, 745, 103
150, 750, 103
151, 755, 104
152, 760, 105
153, 765, 106
154, 770, 107
155, 775, 107
156, 780, 108
157, 785, 109
158, 790, 109
159, 795, 110
160, 800, 111
161, 805, 111
162, 810, 112
163, 815, 113
164, 820, 114
165, 825, 115
166, 830, 115
167, 835, 116
168, 840, 117
169, 845, 117
170, 850, 118
171, 855, 119
172, 860, 119
173, 865, 120
