Sample No., Time (ms), Motor Count 
1, 5, 0
2, 10, 0
3, 15, 1
4, 20, 2
5, 25, 2
6, 30, 3
7, 35, 4
8, 40, 5
9, 45, 6
10, 50, 8
11, 55, 9
12, 60, 11
13, 65, 12
14, 70, 14
15, 75, 16
16, 80, 18
17, 85, 20
18, 90, 22
19, 95, 24
20, 100, 26
21, 105, 28
22, 110, 30
23, 115, 32
24, 120, 34
25, 125, 36
26, 130, 38
27, 135, 40
28, 140, 43
29, 145, 45
30, 150, 47
31, 155, 50
32, 160, 52
33, 165, 54
34, 170, 56
35, 175, 59
36, 180, 61
37, 185, 64
38, 190, 66
39, 195, 68
40, 200, 71
41, 205, 73
42, 210, 75
43, 215, 78
44, 220, 80
45, 225, 82
46, 230, 85
47, 235, 88
48, 240, 90
49, 245, 92
50, 250, 95
51, 255, 97
52, 260, 100
53, 265, 102
54, 270, 104
55, 275, 107
56, 280, 109
57, 285, 112
58, 290, 114
59, 295, 116
60, 300, 119
61, 305, 122
62, 310, 124
63, 315, 126
64, 320, 129
65, 325, 131
66, 330, 134
67, 335, 136
68, 340, 139
69, 345, 141
70, 350, 144
71, 355, 146
72, 360, 148
73, 365, 151
74, 370, 153
75, 375, 156
76, 380, 158
77, 385, 161
78, 390, 163
79, 395, 166
80, 400, 168
81, 405, 170
82, 410, 173
83, 415, 175
84, 420, 178
85, 425, 180
86, 430, 183
87, 435, 185
88, 440, 188
89, 445, 190
90, 450, 192
91, 455, 195
92, 460, 198
93, 465, 200
94, 470, 202
95, 475, 205
96, 480, 207
97, 485, 210
98, 490, 212
99, 495, 215
100, 500, 217
101, 505, 220
102, 510, 222
103, 515, 224
104, 520, 227
105, 525, 230
106, 530, 232
107, 535, 234
108, 540, 237
109, 545, 239
110, 550, 242
111, 555, 244
112, 560, 246
113, 565, 249
114, 570, 252
115, 575, 254
116, 580, 256
117, 585, 259
118, 590, 261
119, 595, 264
120, 600, 266
121, 605, 269
122, 610, 271
123, 615, 274
124, 620, 276
125, 625, 278
126, 630, 281
127, 635, 283
128, 640, 286
129, 645, 288
130, 650, 291
131, 655, 293
132, 660, 296
133, 665, 298
134, 670, 300
135, 675, 303
136, 680, 306
137, 685, 308
138, 690, 310
139, 695, 313
140, 700, 315
141, 705, 318
142, 710, 320
143, 715, 323
144, 720, 325
145, 725, 328
146, 730, 330
147, 735, 332
148, 740, 335
149, 745, 337
150, 750, 340
151, 755, 342
152, 760, 345
153, 765, 347
154, 770, 350
155, 775, 352
156, 780, 354
157, 785, 357
158, 790, 360
159, 795, 362
160, 800, 364
161, 805, 367
162, 810, 369
163, 815, 372
164, 820, 374
165, 825, 377
166, 830, 379
167, 835, 382
168, 840, 384
169, 845, 386
170, 850, 389
171, 855, 392
172, 860, 394
173, 865, 396
