Sample No., Time (ms), Motor Count 
1, 5, 0
2, 10, 0
3, 15, 1
4, 20, 1
5, 25, 1
6, 30, 2
7, 35, 3
8, 40, 4
9, 45, 5
10, 50, 6
11, 55, 7
12, 60, 9
13, 65, 10
14, 70, 11
15, 75, 13
16, 80, 15
17, 85, 16
18, 90, 18
19, 95, 19
20, 100, 21
21, 105, 23
22, 110, 25
23, 115, 26
24, 120, 28
25, 125, 30
26, 130, 32
27, 135, 34
28, 140, 35
29, 145, 37
30, 150, 39
31, 155, 41
32, 160, 43
33, 165, 45
34, 170, 47
35, 175, 49
36, 180, 51
37, 185, 53
38, 190, 55
39, 195, 57
40, 200, 59
41, 205, 61
42, 210, 63
43, 215, 65
44, 220, 67
45, 225, 69
46, 230, 71
47, 235, 73
48, 240, 75
49, 245, 77
50, 250, 79
51, 255, 81
52, 260, 83
53, 265, 85
54, 270, 87
55, 275, 89
56, 280, 91
57, 285, 93
58, 290, 95
59, 295, 97
60, 300, 99
61, 305, 101
62, 310, 103
63, 315, 105
64, 320, 107
65, 325, 109
66, 330, 111
67, 335, 113
68, 340, 115
69, 345, 117
70, 350, 119
71, 355, 121
72, 360, 123
73, 365, 125
74, 370, 127
75, 375, 129
76, 380, 131
77, 385, 133
78, 390, 135
79, 395, 138
80, 400, 140
81, 405, 141
82, 410, 144
83, 415, 146
84, 420, 148
85, 425, 150
86, 430, 152
87, 435, 154
88, 440, 156
89, 445, 158
90, 450, 160
91, 455, 162
92, 460, 164
93, 465, 166
94, 470, 168
95, 475, 170
96, 480, 172
97, 485, 174
98, 490, 176
99, 495, 178
100, 500, 180
101, 505, 183
102, 510, 185
103, 515, 187
104, 520, 189
105, 525, 191
106, 530, 193
107, 535, 195
108, 540, 197
109, 545, 199
110, 550, 201
111, 555, 203
112, 560, 205
113, 565, 207
114, 570, 209
115, 575, 211
116, 580, 213
117, 585, 215
118, 590, 217
119, 595, 219
120, 600, 221
121, 605, 223
122, 610, 225
123, 615, 227
124, 620, 229
125, 625, 231
126, 630, 233
127, 635, 235
128, 640, 237
129, 645, 239
130, 650, 241
131, 655, 243
132, 660, 245
133, 665, 247
134, 670, 249
135, 675, 251
136, 680, 253
137, 685, 255
138, 690, 257
139, 695, 259
140, 700, 261
141, 705, 263
142, 710, 265
143, 715, 267
144, 720, 269
145, 725, 272
146, 730, 274
147, 735, 276
148, 740, 278
149, 745, 280
150, 750, 282
151, 755, 284
152, 760, 286
153, 765, 288
154, 770, 290
155, 775, 292
156, 780, 294
157, 785, 296
158, 790, 298
159, 795, 300
160, 800, 302
161, 805, 304
162, 810, 306
163, 815, 308
164, 820, 310
165, 825, 312
166, 830, 314
167, 835, 316
168, 840, 318
169, 845, 320
170, 850, 322
171, 855, 325
172, 860, 327
173, 865, 329
